protocol,flow duration,tot fwd pkts,tot bwd pkts,init fwd win byts,init bwd win byts,label
6,55793,13,22,2333,9414,Attack
6,55148,10,20,4014,1905,Attack
6,35406,50,30,91,6318,Attack
6,13016,49,16,9032,2742,Attack
6,54976,9,35,3528,3628,Attack
6,57854,23,34,9535,9909,Benign
6,16271,12,44,4349,7783,Benign
6,47632,46,43,9399,7804,Benign
6,65185,23,1,5566,4407,Benign
6,65340,29,36,4311,3263,Benign
6,77233,25,36,7499,9695,Attack
6,85589,11,11,9937,5394,Attack
6,28692,2,44,5058,3372,Benign
6,90211,31,41,1369,8670,Attack
6,48334,41,23,6074,6855,Attack
6,83852,49,48,8789,6524,Benign
6,68163,9,38,2864,7530,Attack
6,64509,28,31,2003,9694,Benign
6,34224,25,45,6124,7268,Benign
6,94945,34,48,58,9809,Attack
6,8646,6,29,4272,4363,Benign
6,8987,34,8,3517,8370,Attack
6,80433,15,10,512,7010,Benign
6,15722,14,32,2944,2405,Attack
6,48147,5,33,2195,85,Attack
6,62602,15,19,774,2414,Attack
6,24769,7,40,6019,4,Attack
6,52560,17,27,184,1877,Attack
6,13689,32,22,5088,911,Benign
6,46524,20,10,6554,1392,Benign
6,83661,48,47,1036,9031,Attack
6,68591,21,5,1353,7169,Attack
6,52219,19,23,9882,1529,Attack
6,68724,33,8,2882,9387,Attack
6,26733,30,15,712,2166,Attack
6,98752,36,5,2709,2078,Attack
6,80238,45,3,4129,941,Benign
6,25082,11,22,7936,4293,Benign
6,94439,24,19,9761,6464,Benign
6,67863,15,44,692,5078,Attack
6,83753,34,18,45,9135,Attack
6,24529,11,28,5076,1506,Benign
6,35868,23,38,1377,7751,Attack
6,69733,29,24,774,7883,Attack
6,48826,10,17,8697,2280,Attack
6,37564,5,6,3000,1166,Benign
6,3160,28,50,4422,5644,Attack
6,56067,32,5,6767,532,Benign
6,89741,5,40,1529,1185,Benign
6,99113,7,44,3425,2857,Benign
6,40294,25,10,5062,2195,Benign
6,44409,36,1,4504,4594,Attack
6,31067,32,16,8729,2203,Benign
6,62181,18,33,3821,5512,Benign
6,57733,13,45,6287,4880,Benign
6,68619,12,14,5586,2987,Benign
6,20273,7,8,2105,7011,Attack
6,70164,23,37,230,3650,Benign
6,25805,21,43,6483,1747,Attack
6,77717,1,43,5899,6368,Benign
6,31993,9,50,2706,8047,Benign
6,82741,40,5,1931,4523,Benign
6,70668,8,32,6797,5087,Attack
6,55291,30,46,5988,5812,Benign
6,45450,13,25,8303,4156,Benign
6,79296,33,47,6098,1323,Attack
6,48277,37,45,1977,4386,Benign
6,60120,2,32,7649,6111,Benign
6,75890,33,8,5452,5657,Benign
6,202,33,29,934,2229,Attack
6,97167,35,0,1920,9108,Benign
6,38019,37,14,6096,4592,Benign
6,87378,37,39,9968,4632,Attack
6,49326,10,18,3980,5974,Benign
6,56302,19,46,8764,5359,Benign
6,9078,28,48,9679,8837,Attack
6,67480,34,37,3593,2237,Benign
6,16118,30,11,1147,6680,Benign
6,54409,9,48,9005,3390,Attack
6,63958,39,22,8780,9624,Benign
6,11761,48,49,9943,9663,Attack
6,76217,22,1,2540,7720,Benign
6,2599,34,5,2742,4769,Benign
6,24207,20,23,351,1253,Attack
6,42129,19,19,7053,1176,Attack
6,18008,33,24,9518,9418,Attack
6,57707,26,46,7627,5474,Attack
6,71620,47,15,4436,2486,Attack
6,94038,20,24,2378,6918,Benign
6,70603,5,17,1842,1220,Attack
6,16388,9,21,3596,3782,Benign
6,66158,17,33,5084,8119,Benign
6,41077,32,30,615,8505,Attack
6,23007,33,47,3737,6569,Benign
6,41474,49,25,2633,910,Attack
6,22702,39,48,4372,866,Attack
6,4981,48,44,7674,9163,Benign
6,62741,10,2,2643,3916,Attack
6,92486,10,28,7087,2498,Benign
6,83136,6,12,4718,6651,Benign
6,26060,11,29,4623,8323,Attack
6,31771,9,47,3710,2749,Benign
6,65344,35,44,9358,3908,Attack
6,93607,18,8,6080,3295,Attack
6,54793,4,9,3978,5446,Attack
6,49710,9,43,9583,150,Attack
6,64988,16,20,2933,1633,Attack
6,24711,24,27,7836,826,Benign
6,25549,41,36,4192,2120,Attack
6,47724,46,9,4248,3494,Attack
6,25504,30,17,6128,717,Benign
6,88844,22,42,1268,2266,Attack
6,45569,46,10,8021,2826,Attack
6,52382,8,35,1675,1096,Benign
6,57209,25,15,7451,5759,Benign
6,87925,21,36,1261,6244,Attack
6,12249,11,44,8595,1979,Benign
6,16866,42,8,2402,318,Attack
6,2372,31,4,3777,552,Benign
6,4865,27,39,9745,9028,Benign
6,60919,42,17,4444,5170,Benign
6,48267,37,40,7569,3965,Attack
6,62582,10,29,3386,6438,Attack
6,57901,19,16,1910,9928,Attack
6,2553,29,37,5314,8223,Attack
6,5948,7,29,6087,1259,Benign
6,72824,7,21,3872,313,Attack
6,46631,45,8,3707,5527,Benign
6,30209,21,11,8187,3903,Benign
6,82923,23,49,9097,6221,Benign
6,50829,36,41,6086,8957,Benign
6,9065,3,32,4007,2541,Attack
6,32965,25,20,6792,9536,Benign
6,10697,45,15,8595,3373,Attack
6,8254,30,39,1483,8214,Benign
6,14090,15,38,8730,5384,Attack
6,717,20,5,7592,7380,Attack
6,41271,18,22,425,3169,Benign
6,49096,21,30,1245,5226,Benign
